City,Latitude,Longitude,Hotels,Places_to_visit,hotel_process,new_file_paths,hotel_final
Bandipur,11.6677,76.6326,hotels/130.json,,130_short.json,hotels/preprocessed_130_short.json,hotels/preprocessed_130_short.json
Bangaram,10.9417,72.2881,hotels/131.json,,131_short.json,hotels/preprocessed_131_short.json,hotels/preprocessed_131_short.json
Baneshwar,18.2556,73.8741,hotels/132.json,,132_short.json,hotels/preprocessed_132_short.json,hotels/preprocessed_132_short.json
Banjar,-7.3707,108.5342,hotels/133.json,,133_short.json,hotels/preprocessed_133_short.json,hotels/preprocessed_133_short.json
Bankura,23.2313,87.0784,hotels/134.json,,134_short.json,hotels/preprocessed_134_short.json,hotels/preprocessed_134_short.json
Bannari,11.5511,77.1392,hotels/135.json,,,,
Banswara,23.5461,74.435,hotels/136.json,,136_short.json,hotels/preprocessed_136_short.json,hotels/preprocessed_136_short.json
Banni,25.4757,86.6057,hotels/137.json,,137_short.json,hotels/preprocessed_137_short.json,hotels/preprocessed_137_short.json
Bantwal,12.9012,75.0412,hotels/138.json,,138_short.json,hotels/preprocessed_138_short.json,hotels/preprocessed_138_short.json
Bapatla,15.9039,80.4671,hotels/139.json,,139_short.json,hotels/preprocessed_139_short.json,hotels/preprocessed_139_short.json
Baramati,18.1792,74.6078,hotels/140.json,,140_short.json,hotels/preprocessed_140_short.json,hotels/preprocessed_140_short.json
Barabanki,26.9268,81.1834,hotels/141.json,,141_short.json,hotels/preprocessed_141_short.json,hotels/preprocessed_141_short.json
Baramulla,34.199,74.3499,hotels/142.json,,142_short.json,hotels/preprocessed_142_short.json,hotels/preprocessed_142_short.json
Baran,25.1013,76.5119,hotels/143.json,,143_short.json,hotels/preprocessed_143_short.json,hotels/preprocessed_143_short.json
Barasat,22.7248,88.4789,hotels/144.json,,144_short.json,hotels/preprocessed_144_short.json,hotels/preprocessed_144_short.json
Baratang Island,12.2114,92.8112,hotels/145.json,,145_short.json,hotels/preprocessed_145_short.json,hotels/preprocessed_145_short.json
Barddhaman,23.2324,87.8615,hotels/146.json,,146_short.json,hotels/preprocessed_146_short.json,hotels/preprocessed_146_short.json
Bareilly,28.367,79.4304,hotels/147.json,,147_short.json,hotels/preprocessed_147_short.json,hotels/preprocessed_147_short.json
Bardoli,21.1255,73.1122,hotels/148.json,,148_short.json,hotels/preprocessed_148_short.json,hotels/preprocessed_148_short.json
Bargarh,21.347,83.632,hotels/149.json,,149_short.json,hotels/preprocessed_149_short.json,hotels/preprocessed_149_short.json
Baripada,21.932,86.7466,hotels/150.json,,150_short.json,hotels/preprocessed_150_short.json,hotels/preprocessed_150_short.json
Barmer,25.7521,71.3967,hotels/151.json,,151_short.json,hotels/preprocessed_151_short.json,hotels/preprocessed_151_short.json
Barog,30.8883,77.0766,hotels/152.json,,152_short.json,hotels/preprocessed_152_short.json,hotels/preprocessed_152_short.json
Barpeta,26.3304,91.0041,hotels/153.json,,153_short.json,hotels/preprocessed_153_short.json,hotels/preprocessed_153_short.json
Barrackpur,22.7661,88.3516,hotels/154.json,,154_short.json,hotels/preprocessed_154_short.json,hotels/preprocessed_154_short.json
Barua Sagar,25.3748,78.732,hotels/155.json,,155_short.json,hotels/preprocessed_155_short.json,hotels/preprocessed_155_short.json
Bastar,19.1071,81.9535,hotels/156.json,,156_short.json,hotels/preprocessed_156_short.json,hotels/preprocessed_156_short.json
Barwani,22.0363,74.9033,hotels/157.json,,157_short.json,hotels/preprocessed_157_short.json,hotels/preprocessed_157_short.json
Barshi,18.2334,75.6941,hotels/158.json,,158_short.json,hotels/preprocessed_158_short.json,hotels/preprocessed_158_short.json
Bassi,30.5887,76.8471,hotels/159.json,,159_short.json,hotels/preprocessed_159_short.json,hotels/preprocessed_159_short.json
Basti,26.814,82.763,hotels/160.json,,160_short.json,hotels/preprocessed_160_short.json,hotels/preprocessed_160_short.json
Bathinda,30.211,74.9455,hotels/161.json,,161_short.json,hotels/preprocessed_161_short.json,hotels/preprocessed_161_short.json
Batala,31.8195,75.2036,hotels/162.json,,162_short.json,hotels/preprocessed_162_short.json,hotels/preprocessed_162_short.json
Bataw,25.2283,92.2458,hotels/163.json,,163_short.json,hotels/preprocessed_163_short.json,hotels/preprocessed_163_short.json
Beed,18.9901,75.7531,hotels/164.json,,164_short.json,hotels/preprocessed_164_short.json,hotels/preprocessed_164_short.json
Bekal,12.4204,75.0231,hotels/165.json,,165_short.json,hotels/preprocessed_165_short.json,hotels/preprocessed_165_short.json
Begusarai,25.4182,86.1272,hotels/166.json,,166_short.json,hotels/preprocessed_166_short.json,hotels/preprocessed_166_short.json
Belakavadi,12.2551,77.1226,hotels/167.json,,167_short.json,hotels/preprocessed_167_short.json,hotels/preprocessed_167_short.json
Belgaum,15.8497,74.4977,hotels/168.json,,168_short.json,hotels/preprocessed_168_short.json,hotels/preprocessed_168_short.json
Bellary,15.1394,76.9214,hotels/169.json,,169_short.json,hotels/preprocessed_169_short.json,hotels/preprocessed_169_short.json
Belluru,13.1623,75.8679,hotels/170.json,,170_short.json,hotels/preprocessed_170_short.json,hotels/preprocessed_170_short.json
Belthangady,12.9887,75.2725,hotels/171.json,,171_short.json,hotels/preprocessed_171_short.json,hotels/preprocessed_171_short.json
Belur,13.1623,75.8679,hotels/172.json,,172_short.json,hotels/preprocessed_172_short.json,hotels/preprocessed_172_short.json
Bengaluru,12.9716,77.5946,hotels/173.json,,173_short.json,hotels/preprocessed_173_short.json,hotels/preprocessed_173_short.json
Bera,3.2705,102.4539,hotels/174.json,,174_short.json,hotels/preprocessed_174_short.json,hotels/preprocessed_174_short.json
Bhadrachalam,17.6705,80.8938,hotels/175.json,,175_short.json,hotels/preprocessed_175_short.json,hotels/preprocessed_175_short.json
Betul,21.9012,77.896,hotels/176.json,,176_short.json,hotels/preprocessed_176_short.json,hotels/preprocessed_176_short.json
Beypore,11.1736,75.804,hotels/177.json,,177_short.json,hotels/preprocessed_177_short.json,hotels/preprocessed_177_short.json
Bhabhua,25.0426,83.6056,hotels/178.json,,178_short.json,hotels/preprocessed_178_short.json,hotels/preprocessed_178_short.json
Bhadrak,21.0574,86.4963,hotels/179.json,,179_short.json,hotels/preprocessed_179_short.json,hotels/preprocessed_179_short.json
Bhagalpur,25.2372,86.9746,hotels/180.json,,180_short.json,hotels/preprocessed_180_short.json,hotels/preprocessed_180_short.json
Bhadravati,20.1003,79.1146,hotels/181.json,,181_short.json,hotels/preprocessed_181_short.json,hotels/preprocessed_181_short.json
Bhagsu Nag,32.2465,76.3326,hotels/182.json,,182_short.json,hotels/preprocessed_182_short.json,hotels/preprocessed_182_short.json
Bhagani,30.4924,77.7395,hotels/183.json,,183_short.json,hotels/preprocessed_183_short.json,hotels/preprocessed_183_short.json
Bhagdara,22.327,75.7255,hotels/184.json,,,,
Bhandara,21.1777,79.657,hotels/185.json,,185_short.json,hotels/preprocessed_185_short.json,hotels/preprocessed_185_short.json
Bhalukpong,27.0137,92.6345,hotels/186.json,,186_short.json,hotels/preprocessed_186_short.json,hotels/preprocessed_186_short.json
Bhairapur,16.4384,76.5806,hotels/187.json,,187_short.json,hotels/preprocessed_187_short.json,hotels/preprocessed_187_short.json
Bhalki,18.0504,77.2184,hotels/188.json,,188_short.json,hotels/preprocessed_188_short.json,hotels/preprocessed_188_short.json
Bhandardara,19.5375,73.7695,hotels/189.json,,189_short.json,hotels/preprocessed_189_short.json,hotels/preprocessed_189_short.json
Bharatpur,27.2152,77.503,hotels/190.json,,190_short.json,hotels/preprocessed_190_short.json,hotels/preprocessed_190_short.json
Bharmour,32.4428,76.5329,hotels/191.json,,191_short.json,hotels/preprocessed_191_short.json,hotels/preprocessed_191_short.json
Bharuch,21.7051,72.9959,hotels/192.json,,192_short.json,hotels/preprocessed_192_short.json,hotels/preprocessed_192_short.json
Bhatkal,13.9993,74.5408,hotels/193.json,,193_short.json,hotels/preprocessed_193_short.json,hotels/preprocessed_193_short.json
Bhavani,11.4471,77.684,hotels/194.json,,194_short.json,hotels/preprocessed_194_short.json,hotels/preprocessed_194_short.json
Bhavnagar,21.7645,72.1519,hotels/195.json,,195_short.json,hotels/preprocessed_195_short.json,hotels/preprocessed_195_short.json
Bhawanipatna,19.9074,83.1642,hotels/196.json,,196_short.json,hotels/preprocessed_196_short.json,hotels/preprocessed_196_short.json
Bhilai,21.1938,81.3509,hotels/197.json,,197_short.json,hotels/preprocessed_197_short.json,hotels/preprocessed_197_short.json
Bhilwara,25.3407,74.6313,hotels/198.json,,198_short.json,hotels/preprocessed_198_short.json,hotels/preprocessed_198_short.json
